p max 2002 69800
n 0 s
n 1 t
a 0 1002 3335
a 0 1003 4187
a 0 1004 4776
a 0 1005 5028
a 0 1006 4868
a 0 1007 4414
a 0 1008 4020
a 0 1009 3658
a 0 1010 3468
a 0 1011 3467
a 0 1012 3662
a 0 1013 3952
a 0 1014 4360
a 0 1015 4784
a 0 1016 5240
a 0 1017 5547
a 0 1018 5521
a 0 1019 5136
a 0 1020 4446
a 0 1021 3472
a 0 1022 4212
a 0 1023 5217
a 0 1024 5856
a 0 1025 6091
a 0 1026 5839
a 0 1027 5346
a 0 1028 4911
a 0 1029 4554
a 0 1030 4371
a 0 1031 4360
a 0 1032 4518
a 0 1033 4837
a 0 1034 5261
a 0 1035 5738
a 0 1036 6312
a 0 1037 6785
a 0 1038 6830
a 0 1039 6432
a 0 1040 5642
a 0 1041 4426
a 0 1042 4829
a 0 1043 5900
a 0 1044 6542
a 0 1045 6695
a 0 1046 6413
a 0 1047 5966
a 0 1048 5648
a 0 1049 5424
a 0 1050 5346
a 0 1051 5346
a 0 1052 5387
a 0 1053 5573
a 0 1054 5842
a 0 1055 6266
a 0 1056 6903
a 0 1057 7536
a 0 1058 7663
a 0 1059 7333
a 0 1060 6510
a 0 1061 5145
a 0 1062 5150
a 0 1063 6187
a 0 1064 6827
a 0 1065 6980
a 0 1066 6768
a 0 1067 6551
a 0 1068 6524
a 0 1069 6565
a 0 1070 6671
a 0 1071 6681
a 0 1072 6530
a 0 1073 6443
a 0 1074 6393
a 0 1075 6548
a 0 1076 7102
a 0 1077 7850
a 0 1078 8094
a 0 1079 7848
a 0 1080 7077
a 0 1081 5664
a 0 1082 5265
a 0 1083 6270
a 0 1084 6860
a 0 1085 6993
a 0 1086 6892
a 0 1087 6900
a 0 1088 7110
a 0 1089 7399
a 0 1090 7670
a 0 1091 7671
a 0 1092 7320
a 0 1093 6995
a 0 1094 6678
a 0 1095 6596
a 0 1096 7026
a 0 1097 7832
a 0 1098 8148
a 0 1099 7987
a 0 1100 7286
a 0 1101 5883
a 0 1102 5128
a 0 1103 6043
a 0 1104 6562
a 0 1105 6614
a 0 1106 6603
a 0 1107 6837
a 0 1108 7309
a 0 1109 7822
a 0 1110 8264
a 0 1111 8257
a 0 1112 7753
a 0 1113 7200
a 0 1114 6666
a 0 1115 6378
a 0 1116 6744
a 0 1117 7571
a 0 1118 7943
a 0 1119 7841
a 0 1120 7212
a 0 1121 5822
a 0 1122 5098
a 0 1123 5962
a 0 1124 6440
a 0 1125 6479
a 0 1126 6534
a 0 1127 6873
a 0 1128 7537
a 0 1129 8230
a 0 1130 8796
a 0 1131 8808
a 0 1132 8250
a 0 1133 7542
a 0 1134 6844
a 0 1135 6434
a 0 1136 6758
a 0 1137 7534
a 0 1138 7920
a 0 1139 7842
a 0 1140 7201
a 0 1141 5811
a 0 1142 5183
a 0 1143 6059
a 0 1144 6568
a 0 1145 6667
a 0 1146 6756
a 0 1147 7122
a 0 1148 7840
a 0 1149 8595
a 0 1150 9173
a 0 1151 9230
a 0 1152 8677
a 0 1153 7939
a 0 1154 7190
a 0 1155 6767
a 0 1156 7028
a 0 1157 7739
a 0 1158 8082
a 0 1159 7953
a 0 1160 7263
a 0 1161 5832
a 0 1162 5310
a 0 1163 6259
a 0 1164 6784
a 0 1165 6904
a 0 1166 6981
a 0 1167 7247
a 0 1168 7906
a 0 1169 8615
a 0 1170 9150
a 0 1171 9207
a 0 1172 8773
a 0 1173 8139
a 0 1174 7530
a 0 1175 7232
a 0 1176 7539
a 0 1177 8156
a 0 1178 8371
a 0 1179 8136
a 0 1180 7351
a 0 1181 5850
a 0 1182 5353
a 0 1183 6315
a 0 1184 6902
a 0 1185 7071
a 0 1186 7170
a 0 1187 7352
a 0 1188 7975
a 0 1189 8652
a 0 1190 9170
a 0 1191 9270
a 0 1192 9020
a 0 1193 8540
a 0 1194 8039
a 0 1195 7835
a 0 1196 8138
a 0 1197 8609
a 0 1198 8696
a 0 1199 8353
a 0 1200 7434
a 0 1201 5868
a 0 1202 5469
a 0 1203 6490
a 0 1204 7105
a 0 1205 7338
a 0 1206 7403
a 0 1207 7442
a 0 1208 7962
a 0 1209 8550
a 0 1210 9041
a 0 1211 9272
a 0 1212 9237
a 0 1213 8945
a 0 1214 8642
a 0 1215 8560
a 0 1216 8779
a 0 1217 9086
a 0 1218 9004
a 0 1219 8520
a 0 1220 7466
a 0 1221 5872
a 0 1222 5535
a 0 1223 6616
a 0 1224 7292
a 0 1225 7583
a 0 1226 7632
a 0 1227 7546
a 0 1228 7910
a 0 1229 8333
a 0 1230 8739
a 0 1231 9033
a 0 1232 9161
a 0 1233 9078
a 0 1234 8998
a 0 1235 9045
a 0 1236 9217
a 0 1237 9433
a 0 1238 9210
a 0 1239 8582
a 0 1240 7452
a 0 1241 5843
a 0 1242 5560
a 0 1243 6658
a 0 1244 7342
a 0 1245 7628
a 0 1246 7663
a 0 1247 7464
a 0 1248 7716
a 0 1249 7982
a 0 1250 8306
a 0 1251 8572
a 0 1252 8763
a 0 1253 8794
a 0 1254 8943
a 0 1255 9100
a 0 1256 9335
a 0 1257 9574
a 0 1258 9328
a 0 1259 8649
a 0 1260 7490
a 0 1261 5865
a 0 1262 5583
a 0 1263 6720
a 0 1264 7457
a 0 1265 7738
a 0 1266 7732
a 0 1267 7438
a 0 1268 7521
a 0 1269 7630
a 0 1270 7835
a 0 1271 8049
a 0 1272 8225
a 0 1273 8310
a 0 1274 8543
a 0 1275 8783
a 0 1276 9109
a 0 1277 9430
a 0 1278 9259
a 0 1279 8616
a 0 1280 7473
a 0 1281 5836
a 0 1282 5703
a 0 1283 6963
a 0 1284 7751
a 0 1285 8063
a 0 1286 8027
a 0 1287 7606
a 0 1288 7447
a 0 1289 7320
a 0 1290 7295
a 0 1291 7305
a 0 1292 7337
a 0 1293 7422
a 0 1294 7743
a 0 1295 8134
a 0 1296 8633
a 0 1297 9144
a 0 1298 9098
a 0 1299 8531
a 0 1300 7461
a 0 1301 5842
a 0 1302 5750
a 0 1303 7116
a 0 1304 8026
a 0 1305 8468
a 0 1306 8499
a 0 1307 8064
a 0 1308 7705
a 0 1309 7294
a 0 1310 6896
a 0 1311 6556
a 0 1312 6315
a 0 1313 6334
a 0 1314 6711
a 0 1315 7280
a 0 1316 8034
a 0 1317 8790
a 0 1318 8933
a 0 1319 8475
a 0 1320 7470
a 0 1321 5862
a 0 1322 5826
a 0 1323 7264
a 0 1324 8223
a 0 1325 8705
a 0 1326 8750
a 0 1327 8309
a 0 1328 7852
a 0 1329 7320
a 0 1330 6724
a 0 1331 6170
a 0 1332 5716
a 0 1333 5617
a 0 1334 5935
a 0 1335 6589
a 0 1336 7514
a 0 1337 8456
a 0 1338 8747
a 0 1339 8431
a 0 1340 7466
a 0 1341 5868
a 0 1342 5836
a 0 1343 7300
a 0 1344 8269
a 0 1345 8755
a 0 1346 8792
a 0 1347 8360
a 0 1348 7881
a 0 1349 7332
a 0 1350 6708
a 0 1351 6093
a 0 1352 5599
a 0 1353 5465
a 0 1354 5727
a 0 1355 6399
a 0 1356 7360
a 0 1357 8328
a 0 1358 8670
a 0 1359 8387
a 0 1360 7437
a 0 1361 5872
a 0 1362 5772
a 0 1363 7217
a 0 1364 8159
a 0 1365 8632
a 0 1366 8707
a 0 1367 8306
a 0 1368 7871
a 0 1369 7368
a 0 1370 6770
a 0 1371 6188
a 0 1372 5719
a 0 1373 5642
a 0 1374 5941
a 0 1375 6640
a 0 1376 7562
a 0 1377 8506
a 0 1378 8761
a 0 1379 8435
a 0 1380 7451
a 0 1381 5901
a 0 1382 5736
a 0 1383 7082
a 0 1384 7984
a 0 1385 8413
a 0 1386 8444
a 0 1387 8079
a 0 1388 7757
a 0 1389 7375
